num;time;msR;msPhiv;msPhin;msRt;estR;estv;estu;estRt;varR;varPhiv;varPhin;varRt;gamma;MSDgamma;phi0;a00;a01;a02;a10;a11;a12;a20;a21;a22;msX;msY;msZ;estX;estY;estZ;estVx;estVy;estVz;estDX;estDY;estDZ;estDVx;estDVy;estDVz;trueR;truePhiv;truePhin;trueRt;truePhivt;truePhint;trueX;trueY;trueZ;trueVx;trueVy;trueVz
1;0.6006;946996.1;-0.01949314;0.04335916;-5290.79;946994.5;-0.02110489;0.04351809;-5292.886;1.3388;0.0002969;0.00028489;1.98413;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;675853.7;596051.7;291111.1;676701.8;594859.8;291573.6;-3786.966;-3319.337;-1629.596;194.4;218.8;257.5;43.259;48.588;57.476;0;0;0;0;0;0;0;0;0;0;0;0
1;0.6552;946707;-0.01885519;0.0442095;-5288.018;946705.9;-0.0209003;0.04357839;-5290.908;1.2854;0.00028338;0.00027247;1.99338;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;674989.1;596312.8;291641.7;676359.5;594827.2;291496.8;-3787.194;-3316.348;-1628.748;185.7;208.7;246.1;43.261;48.572;57.466;0;0;0;0;0;0;0;0;0;0;0;0
1;0.7098;946418.8;-0.01846982;0.04375333;-5286.631;946417.3;-0.02068815;0.04359305;-5289.146;1.2377;0.00027107;0.00026121;2.00681;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;674727.7;596428.2;291074.6;676029.2;594801.6;291378.3;-3787.776;-3312.948;-1628.622;177.7;199.5;235.9;43.261;48.554;57.455;0;0;0;0;0;0;0;0;0;0;0;0
1;0.7644;946128.1;-0.01855516;0.04393073;-5285.591;946128.6;-0.02051615;0.04361914;-5287.752;1.1965;0.00026029;0.00025131;2.00479;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;674506;596177;291158.2;675717.3;594745.8;291277.9;-3788.652;-3309.875;-1628.347;170.7;191.5;226.8;43.257;48.534;57.44;0;0;0;0;0;0;0;0;0;0;0;0
1;0.819;945841.2;-0.0183268;0.043847;-5284.205;945840.2;-0.02035992;0.04363503;-5286.371;1.1628;0.00025126;0.00024286;1.98337;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;674202.5;596166.3;290950.5;675418.1;594678.9;291171.8;-3789.609;-3306.642;-1628.251;164.8;184.8;219.1;43.25;48.513;57.424;0;0;0;0;0;0;0;0;0;0;0;0
1;0.8736;945550.5;-0.01789338;0.04442397;-5283.166;945551.6;-0.02019942;0.04368514;-5285.206;1.1339;0.00024342;0.00023545;1.97088;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;673548.4;596283.3;291280.6;675104.4;594613.8;291094.8;-3791.447;-3303.077;-1627.499;159.6;178.9;212.4;43.242;48.49;57.404;0;0;0;0;0;0;0;0;0;0;0;0
1;0.9258;945275.2;-0.0176464;0.04405454;-5282.126;945263.9;-0.02004976;0.04370669;-5283.859;1.1104;0.00023669;0.00022901;1.97235;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;673343.6;596302.1;290822;674807.5;594542.2;290995.2;-3793.071;-3299.171;-1627.353;155.2;173.9;206.5;43.233;48.466;57.383;0;0;0;0;0;0;0;0;0;0;0;0
1;0.9804;944987.7;-0.01738028;0.04405349;-5280.046;944988.2;-0.01990971;0.04372508;-5282.434;1.1083;0.00023093;0.00022342;1.96905;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;672989.5;596315.7;290679.2;674525.7;594471.1;290898.4;-3794.775;-3295.025;-1627.259;151.4;169.6;201.4;43.221;48.441;57.36;0;0;0;0;0;0;0;0;0;0;0;0
1;1.035;944698.1;-0.0166938;0.04448708;-5277.967;944699.9;-0.01977592;0.04375798;-5280.771;1.1134;0.00022667;0.00021911;1.98359;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;672244.5;596622.3;290832.5;674233.4;594386.9;290811.7;-3796.714;-3290.516;-1626.594;148.6;166.4;197.5;43.211;48.417;57.337;0;0;0;0;0;0;0;0;0;0;0;0
1;1.0896;944410.6;-0.01682295;0.04390338;-5277.967;944411.6;-0.01964019;0.0437651;-5279.752;1.1172;0.00022206;0.00021458;2.00219;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;672317.9;596364.1;290258.1;673949;594304.9;290702.1;-3799.135;-3285.904;-1627.117;145.5;163;193.3;43.195;48.388;57.308;0;0;0;0;0;0;0;0;0;0;0;0
