time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
1.7136	946419.8072	5240.478516	2.521167119	-1.068607101	30.10299957	0.975886908	3.089904785	0.015079274	-0.012721012	946418.8313	5237.388611	2.506087844	-1.05588609
1.7682	946120.0147	5240.478516	2.522935021	-1.049175689	30.10299957	-8.197450023	4.119873047	0.006379693	0.012046413	946128.2122	5236.358643	2.516555329	-1.061222102
1.8228	945845.205	5240.478516	2.524702927	-1.035043829	28.16479931	3.90354763	5.493164063	0.013753624	0.014230829	945841.3014	5234.985352	2.510949303	-1.049274658
1.8774	945545.4125	5229.492188	2.526470834	-1.019145562	27.3369456	-5.074611919	-4.463195801	-0.01767534	0.004272461	945550.4871	5233.955383	2.544146174	-1.023418023
1.9296	945270.6028	5229.492188	2.531774571	-1.003247373	26.17710666	-4.684257156	-3.433227539	0.00883767	0.005846526	945275.287	5232.925415	2.522936902	-1.009093898
1.9842	944995.793	5229.492188	2.533542489	-0.987349261	24.99754946	8.002272642	-1.373291016	0.011268029	0.006810239	944987.7908	5230.865479	2.52227446	-0.9941595
2.0388	944696.0006	5229.492188	2.53707833	-0.971451226	22.33939614	-2.146951197	0.686645508	-0.011488971	-0.016479492	944698.1475	5228.805542	2.548567301	-0.954971733
2.0934	944421.1908	5229.492188	2.540614182	-0.952020395	24.08239965	10.5395786	0.686645508	0.026374921	0.010054739	944410.6512	5228.805542	2.51423926	-0.962075134
2.148	944121.3984	5229.492188	2.540614182	-0.936122523	27.92011018	-0.780709526	2.059936523	-0.043470292	-0.023161236	944122.1791	5227.432251	2.584084474	-0.912961287
2.2026	943846.5886	5229.492188	2.549453853	-0.914925474	27.60422483	11.90582027	4.119873047	-0.009279553	-0.019467003	943834.6828	5225.372314	2.558733406	-0.895458471
2.2572	943546.7961	5229.492188	2.554757684	-0.89372855	27.3369456	-0.195177382	5.493164063	-0.01706775	-0.002955387	943546.9913	5223.999023	2.571825434	-0.890773163
2.3118	943271.9864	5218.505859	2.560061538	-0.87606454	28.16479931	9.173336931	-4.463195801	0.035709711	-0.011018452	943262.8131	5222.969055	2.524351826	-0.865046088
2.367	942972.1939	5218.505859	2.560061538	-0.856634225	28.16479931	3.122838104	-3.433227539	0.005164513	-0.017154092	942969.0711	5221.939087	2.554897025	-0.839480133
2.4216	942672.4015	5218.505859	2.563597452	-0.83543763	26.02059991	-6.636030971	-2.059936523	0.006158751	-0.009829873	942679.0375	5220.565796	2.557438701	-0.825607757
2.4762	942397.5917	5218.505859	2.565365413	-0.816007518	26.58117439	2.342128578	-1.373291016	0.010660439	0.006328382	942395.2496	5219.87915	2.554704974	-0.8223359
2.5308	942097.7993	5218.505859	2.567133377	-0.798343862	24.91025336	-5.269789301	2.403259277	0.050568048	-0.018374795	942103.0691	5216.1026	2.516565329	-0.779969067
2.5854	941822.9895	5218.505859	2.565365413	-0.778913928	22.33939614	2.53730596	3.433227539	-0.030793757	-0.032316511	941820.4522	5215.072632	2.59615917	-0.746597417
2.64	941523.1971	5218.505859	2.570669311	-0.755951394	23.25454595	-12.49135242	4.119873047	0.04714345	0.023546721	941535.6884	5214.385986	2.523525861	-0.779498115
2.6946	941248.3873	5218.505859	2.568901343	-0.740054326	22.33939614	4.879434538	5.836486816	-0.045873034	-0.034019071	941243.5079	5212.669373	2.614774377	-0.706035255
2.7492	940948.5948	5207.519531	2.577741208	-0.717091995	23.16724984	-7.416740497	-4.463195801	0.019083843	-0.008769788	940956.0116	5211.982727	2.558657365	-0.708322207
