num;time;msR;msPhiv;msPhin;msRt;estR;estv;estu;estRt;varR;varPhiv;varPhin;varRt;gamma;MSDgamma;phi0;a00;a01;a02;a10;a11;a12;a20;a21;a22;msX;msY;msZ;estX;estY;estZ;estVx;estVy;estVz;estDX;estDY;estDZ;estDVx;estDVy;estDVz;trueR;truePhiv;truePhin;trueRt;truePhivt;truePhint;trueX;trueY;trueZ;trueVx;trueVy;trueVz
1;0.5988;787050.6;-0.08594633;0.44660627;-3086.034;787055;-0.08594397;0.44918093;-3088.985;1.9388;0.00025276;0.00025059;2.16576;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582143.8;397063.4;-350567.9;-581358.9;396424.1;-352598;2275.236;-1555.41;1394.989;136;176.8;197.3;31.886;41.439;46.105;0;0;0;0;0;0;0;0;0;0;0;0
1;0.6534;786893.3;-0.08588404;0.44656431;-3082.568;786887.9;-0.08593961;0.44898181;-3085.696;1.8835;0.00024311;0.00024115;2.18423;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582012.5;397035.2;-350464.6;-581294.6;396392.6;-352366.3;2271.645;-1553.188;1396.074;130.8;170;189.9;31.875;41.428;46.096;0;0;0;0;0;0;0;0;0;0;0;0
1;0.708;786725;-0.08594007;0.44590663;-3079.449;786720.6;-0.08593991;0.4487628;-3082.507;1.8412;0.00023449;0.00023273;2.18363;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582113;397077.1;-349872;-581238.3;396363;-352118.9;2267.781;-1550.813;1398.01;126.1;164;183.2;31.861;41.414;46.085;0;0;0;0;0;0;0;0;0;0;0;0
1;0.7626;786557.7;-0.08600271;0.44566994;-3077.37;786553.4;-0.08594442;0.44855688;-3079.914;1.8131;0.00022682;0.00022521;2.18354;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582088.9;397010.5;-349611.4;-581179.8;396327.3;-351882;2264.183;-1548.697;1400.55;122;158.6;177.2;31.846;41.399;46.072;0;0;0;0;0;0;0;0;0;0;0;0
1;0.8172;786399.8;-0.08609082;0.44500368;-3074.944;786388.1;-0.08595379;0.44833717;-3077.456;1.7992;0.00022005;0.00021853;2.16745;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582213.3;397038.3;-349017.1;-581129;396292.9;-351635.2;2260.284;-1546.472;1404.018;118.3;153.8;172;31.829;41.382;46.057;0;0;0;0;0;0;0;0;0;0;0;0
1;0.8718;786213.3;-0.08595485;0.44472554;-3070.785;786218.7;-0.08595422;0.44812503;-3074.122;1.7835;0.00021388;0.00021245;2.15872;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582099;397101.7;-348715.1;-581068.9;396260.2;-351392.5;2255.67;-1543.5;1407.558;114.9;149.4;167.1;31.81;41.362;46.039;0;0;0;0;0;0;0;0;0;0;0;0
1;0.9264;786059.5;-0.08606188;0.44365903;-3068.36;786052.3;-0.08595984;0.44790012;-3071.344;1.7845;0.00020905;0.0002075;2.16599;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582354.9;397217.4;-347808.1;-581017.1;396228.8;-351141.2;2250.998;-1540.611;1412.35;112.3;146;163.2;31.792;41.342;46.021;0;0;0;0;0;0;0;0;0;0;0;0
1;0.981;785880.9;-0.08599722;0.44413402;-3065.934;785884.2;-0.08596222;0.44770165;-3068.863;1.6605;0.00020398;0.00020249;2.114;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582050.6;397052.3;-348102.5;-580954.4;396191.9;-350910;2246.632;-1537.833;1417.179;109.5;142.4;159.2;31.769;41.317;45.997;0;0;0;0;0;0;0;0;0;0;0;0
1;1.0356;785730.8;-0.08592227;0.4438917;-3063.508;785718.9;-0.08596076;0.44751452;-3066.155;1.571;0.00019952;0.00019803;2.08775;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-581979.3;397085.1;-347845.2;-580888.6;396156.2;-350689;2242.07;-1534.753;1422.175;107.1;139.3;155.7;31.745;41.291;45.972;0;0;0;0;0;0;0;0;0;0;0;0
1;1.0902;785556.6;-0.0860241;0.44313612;-3059.003;785552.5;-0.08596429;0.44730053;-3062.806;1.5102;0.00019517;0.00019373;2.06116;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582123.2;397116.7;-347174.4;-580832.4;396123.3;-350446.5;2236.295;-1530.983;1428.531;104.7;136.2;152.3;31.718;41.261;45.943;0;0;0;0;0;0;0;0;0;0;0;0
1;1.1454;785378.6;-0.08594777;0.44268402;-3056.924;785384.7;-0.08596403;0.44708281;-3060.313;1.4634;0.00019114;0.00018976;2.07553;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582093.5;397187.6;-346740.1;-580774.5;396093;-350200.5;2230.892;-1527.24;1436.172;102.5;133.3;149.1;31.69;41.228;45.911;0;0;0;0;0;0;0;0;0;0;0;0
1;1.2;785200.9;-0.08597018;0.44224292;-3054.151;785214.2;-0.08596485;0.44686003;-3057.883;1.431;0.00018735;0.00018604;2.08141;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582104.2;397191.3;-346315.1;-580716.5;396061.8;-349949.4;2225.122;-1523.252;1444.854;100.4;130.7;146.2;31.659;41.191;45.875;0;0;0;0;0;0;0;0;0;0;0;0
1;1.2546;785056.3;-0.08602821;0.44186097;-3051.725;785048.5;-0.08596809;0.44664297;-3054.823;1.4315;0.00018398;0.0001827;2.11554;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582137.3;397173.9;-345951.4;-580661.4;396030.1;-349705;2218.617;-1518.878;1453.79;98.6;128.3;143.5;31.627;41.153;45.837;0;0;0;0;0;0;0;0;0;0;0;0
1;1.3068;784901.1;-0.08603669;0.44118267;-3047.913;784884.3;-0.0859715;0.44641343;-3051.273;1.4331;0.00018086;0.0001796;2.10767;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582229.1;397255.8;-345350.2;-580611.2;396002;-349451.6;2211.179;-1513.813;1463.974;96.9;126.1;141;31.591;41.111;45.795;0;0;0;0;0;0;0;0;0;0;0;0
1;1.3614;784712.6;-0.0859184;0.44089016;-3045.488;784723.6;-0.08596993;0.44618333;-3048.764;1.4481;0.00017782;0.00017661;2.11459;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582124.3;397309;-345037.1;-580561.5;395979;-349199.3;2204.345;-1508.761;1475.494;95.2;123.9;138.7;31.553;41.065;45.749;0;0;0;0;0;0;0;0;0;0;0;0
1;1.416;784566.9;-0.08602011;0.44040992;-3042.715;784558.6;-0.08597247;0.44595669;-3045.733;1.4744;0.00017519;0.00017398;2.13661;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582204.7;397286;-344596.3;-580509.2;395950.1;-348947.9;2196.74;-1503.464;1487.417;93.8;122;136.6;31.514;41.018;45.701;0;0;0;0;0;0;0;0;0;0;0;0
1;1.4706;784390.9;-0.08593624;0.44022104;-3039.943;784392.2;-0.08597174;0.44572797;-3043.004;1.489;0.00017256;0.0001714;2.11915;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582093.3;397297.6;-344370.5;-580455.1;395923.3;-348694.4;2189.101;-1497.838;1500.467;92.3;120.2;134.5;31.469;40.964;45.646;0;0;0;0;0;0;0;0;0;0;0;0
1;1.5252;784214.2;-0.08599796;0.43968522;-3036.477;784224.6;-0.08597342;0.44549208;-3040.024;1.4957;0.0001701;0.00016899;2.12544;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582149.1;397298.3;-343872.5;-580403.2;395895.9;-348434.7;2180.668;-1491.798;1514.767;91;118.4;132.6;31.421;40.906;45.588;0;0;0;0;0;0;0;0;0;0;0;0
1;1.5798;784079.4;-0.08596024;0.43950295;-3033.705;784061.6;-0.08597368;0.44526859;-3036.759;1.5131;0.00016793;0.00016683;2.13934;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582086.6;397298.8;-343670.3;-580350.2;395868.7;-348186.9;2172.1;-1485.541;1528.914;89.8;116.9;130.9;31.373;40.848;45.528;0;0;0;0;0;0;0;0;0;0;0;0
1;1.6344;783901.4;-0.08605075;0.43875247;-3031.279;783896.7;-0.08597716;0.44502685;-3034.05;1.5378;0.00016584;0.00016477;2.1389;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582217.5;397331.8;-343003.8;-580302.8;395842.8;-347924;2162.943;-1479.072;1545.565;88.6;115.4;129.2;31.32;40.783;45.462;0;0;0;0;0;0;0;0;0;0;0;0
1;1.689;783758.3;-0.08645495;0.43890747;-3026.427;783734.6;-0.08599048;0.44484366;-3030.168;1.5766;0.00016461;0.00016342;2.13337;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582244;396958.4;-343064;-580244;395797.5;-347708.4;2153.964;-1473.934;1557.75;87.9;114.5;128.1;31.277;40.731;45.406;0;0;0;0;0;0;0;0;0;0;0;0
1;1.7436;783559.3;-0.08606927;0.43821734;-3025.041;783567.8;-0.08599401;0.44460789;-3027.939;1.6283;0.00016282;0.00016165;2.13045;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582130.2;397275.9;-342434.5;-580193.2;395769;-347449.5;2144.681;-1467.333;1575.885;86.9;113.2;126.7;31.218;40.659;45.331;0;0;0;0;0;0;0;0;0;0;0;0
1;1.7982;783381.1;-0.0860555;0.43751472;-3022.615;783399.1;-0.08599698;0.44435759;-3026.037;1.6435;0.00016112;0.00015998;2.0872;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582199.6;397364.3;-341805.7;-580145;395743.6;-347178.5;2134.852;-1460.198;1596.318;86;112;125.4;31.153;40.581;45.251;0;0;0;0;0;0;0;0;0;0;0;0
1;1.851;783238.8;-0.08604444;0.43721333;-3019.496;783234.9;-0.08599952;0.44410595;-3022.819;1.6794;0.0001595;0.00015839;2.12613;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582178;397372;-341507.3;-580100.3;395720.9;-346908.5;2123.699;-1452.065;1617.159;85.1;110.8;124.1;31.087;40.499;45.167;0;0;0;0;0;0;0;0;0;0;0;0
1;1.9056;783074.1;-0.08608675;0.43690782;-3017.07;783075.2;-0.08600329;0.44385869;-3020.088;1.6731;0.000158;0.00015691;2.12229;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582164.4;397334.5;-341196.2;-580058.1;395698.5;-346644;2112.684;-1444.148;1638.654;84.3;109.8;122.9;31.018;40.414;45.078;0;0;0;0;0;0;0;0;0;0;0;0
1;1.9602;782908.9;-0.08595428;0.43641614;-3013.258;782910.2;-0.08600278;0.44360492;-3016.851;1.6656;0.00015663;0.00015556;2.11516;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582127.9;397455.2;-340738.5;-580012;395677.8;-346372.1;2101.012;-1435.186;1661.335;83.5;108.8;121.8;30.946;40.324;44.986;0;0;0;0;0;0;0;0;0;0;0;0
1;2.0148;782735.2;-0.08599239;0.43599069;-3010.833;782743.9;-0.08600351;0.44334789;-3014.065;1.6581;0.00015535;0.00015431;2.13007;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582140.8;397444.4;-340329.8;-579966.2;395656.3;-346097.2;2089.179;-1426.212;1685.357;82.8;107.9;120.8;30.87;40.23;44.888;0;0;0;0;0;0;0;0;0;0;0;0
1;2.0694;782580.1;-0.08618462;0.43555268;-3008.06;782579.5;-0.08601018;0.44308587;-3011.159;1.6583;0.00015416;0.00015314;2.13158;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582239.1;397345.8;-339919.9;-579926;395633.1;-345819.3;2076.389;-1417.331;1710.651;82.1;107;119.9;30.79;40.132;44.786;0;0;0;0;0;0;0;0;0;0;0;0
1;2.124;782388.1;-0.08620806;0.43498057;-3004.594;782410.9;-0.08601691;0.44282934;-3008.339;1.6548;0.00015322;0.00015218;2.12209;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582274.4;397370.1;-339388.6;-579880.9;395606.2;-345543.9;2063.623;-1408.489;1736.087;81.6;106.3;119.1;30.712;40.035;44.684;0;0;0;0;0;0;0;0;0;0;0;0
1;2.1786;782215.5;-0.08620171;0.43486908;-3001.822;782241.3;-0.08602354;0.44256952;-3005.047;1.6702;0.00015226;0.00015122;2.15361;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582175.8;397313.2;-339226.4;-579836;395579.7;-345265.6;2050.109;-1399.084;1762.398;81;105.6;118.3;30.628;39.931;44.574;0;0;0;0;0;0;0;0;0;0;0;0
1;2.2332;782062.1;-0.08624633;0.43422377;-2999.396;782074.4;-0.08603136;0.442297;-3002.147;1.7156;0.00015134;0.00015031;2.13231;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582270.1;397360.5;-338654.9;-579797.2;395556.8;-344978.7;2035.962;-1389.332;1791.117;80.5;104.9;117.6;30.538;39.819;44.458;0;0;0;0;0;0;0;0;0;0;0;0
1;2.2878;781884;-0.08599008;0.43403965;-2996.277;781905.6;-0.08603158;0.44203397;-2998.789;1.7046;0.00015057;0.00014953;2.08886;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582078.2;397480.4;-338432.9;-579750.8;395535.5;-344698.4;2022.252;-1378.733;1819.068;80;104.4;117;30.447;39.707;44.34;0;0;0;0;0;0;0;0;0;0;0;0
1;2.34;781774.3;-0.08608231;0.43358123;-2992.812;781747.4;-0.08603445;0.44175588;-2997.12;1.7108;0.00014974;0.00014873;2.04708;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582171.1;397474;-338027.1;-579717.8;395521.5;-344411.1;2008.645;-1368.496;1850.328;79.6;103.8;116.3;30.348;39.585;44.213;0;0;0;0;0;0;0;0;0;0;0;0
1;2.3946;781610.8;-0.08598126;0.43292933;-2990.039;781594.6;-0.08603428;0.44147003;-2993.81;1.7371;0.00014893;0.00014793;2.13248;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582194.6;397611.5;-337446.1;-579689.7;395513.9;-344120.1;1993.396;-1356.539;1882.669;79.1;103.2;115.7;30.251;39.46;44.083;0;0;0;0;0;0;0;0;0;0;0;0
1;2.4492;781438.8;-0.08574847;0.43240213;-2987.613;781432.6;-0.08602783;0.44118214;-2990.816;1.7953;0.00014831;0.00014732;2.13924;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582117;397800.3;-336958.8;-579652.4;395506.2;-343823.6;1978.672;-1343.846;1915.747;78.7;102.7;115.2;30.151;39.334;43.951;0;0;0;0;0;0;0;0;0;0;0;0
1;2.5038;781237.5;-0.08594265;0.43227675;-2983.455;781263.7;-0.08602742;0.44094169;-2987.171;1.8645;0.00014822;0.00014712;2.15655;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582089.2;397601.5;-336774.6;-579598.6;395479.5;-343561.3;1965.359;-1333.46;1942.282;78.7;102.6;115;30.069;39.233;43.839;0;0;0;0;0;0;0;0;0;0;0;0
1;2.5566;781124.5;-0.08609343;0.431905;-2981.375;781105.9;-0.08603067;0.4406465;-2984.555;1.916;0.00014763;0.00014654;2.15232;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582179.4;397534.3;-336435.7;-579570.7;395469.2;-343261.2;1949.401;-1321.496;1977.579;78.3;102.2;114.5;29.957;39.092;43.693;0;0;0;0;0;0;0;0;0;0;0;0
